Source,Title,Link,Summary,Published,SEO_Score,cleaned,topic_cluster,sentiment_score,lexicon_score,impact_score,impact_level,operational_tag,event_flag,cluster_name
Ada Derana,Local,http://www.adaderana.lk/news.php?nid=115808,LOCAL,"Tue, 09 Dec 2025 20:17:53 +0530",5.17,local local,5,0.0,0.0,0.0,Neutral,general,Normal,"Education, Ministry, 2026"
Ada Derana,International airlines expect to transport record 5.2 billion passengers in 2026- IATA,http://www.adaderana.lk/news.php?nid=115807,"International airlines expect to transport a record 5.2 billion passengers in 2026 despite global headwinds affecting the sector, the industry s trade association said on Tuesday. MORE..","Tue, 09 Dec 2025 20:00:55 +0530",5.17,international airlines expect transport record 5 2 billion passengers 2026 iata international airlines expect transport record 5 2 billion passengers 2026 despite global headwinds affecting sector industry trade association said tuesday,3,0.0,2.0,2.0,Opportunity,"weather, transport, energy, economic",Emerging Event,"Lanka, Sri, News"
Ada Derana,"Sri Lanka s death toll from adverse weather continues to climb, 203 still missing",http://www.adaderana.lk/news.php?nid=115806,"The death toll due to the adverse weather conditions experienced in the country over the past few days has climbed to 639, the Disaster Management Center (DMC) has confirmed. MORE..","Tue, 09 Dec 2025 19:21:36 +0530",5.17,sri lanka death toll adverse weather continues climb 203 still missing death toll due adverse weather conditions experienced country past days climbed 639 disaster management center dmc confirmed,3,-0.959,-10.0,-10.0,High Risk,weather,Emerging Event,"Lanka, Sri, News"
Ada Derana,EU releases €1.8 million in emergency assistance for Sri Lanka,http://www.adaderana.lk/news.php?nid=115804,"The European Union has released €1.8 million in emergency assistance for Sri Lanka, in response to the devastating landslide and floods in recent days. MORE..","Tue, 09 Dec 2025 19:01:38 +0530",5.17,eu releases 1 8 million emergency assistance sri lanka european union released 1 8 million emergency assistance sri lanka response devastating landslide floods recent days,4,-0.8591,-6.5,-7.3591,High Risk,"weather, health, sentiment",Normal,"Lanka, Sri, President"
Ada Derana,Govt urges public not to share personnel information with unauthorized individuals,http://www.adaderana.lk/news.php?nid=115803,The general public has been requested not to be misled by fraudulent messages and to refrain from sharing personal information with individuals who claimed to be involved in programmes to provide relief to those affected by Cyclone Ditwah. MORE..,"Tue, 09 Dec 2025 18:34:37 +0530",5.17,govt urges public share personnel information unauthorized individuals general public requested misled fraudulent messages refrain sharing personal information individuals claimed involved programmes provide relief affected cyclone ditwah,4,0.5106,-0.5,0.010600000000000054,Neutral,"weather, sentiment",Normal,"Lanka, Sri, President"
Ada Derana,Train collides with car at Piyadigama railway crossing in Galle,http://www.adaderana.lk/news.php?nid=115802,An accident occurred when a car collided with a train at the Piyadigama railway crossing in Galle. MORE..,"Tue, 09 Dec 2025 18:26:25 +0530",5.17,train collides car piyadigama railway crossing galle accident occurred car collided train piyadigama railway crossing galle,5,-0.6369,-4.5,-5.1369,High Risk,"weather, transport, security",Normal,"Education, Ministry, 2026"
Ada Derana,Cyclone Ditwah causes extensive pollution along 143km stretch of Sri Lanka s coastline,http://www.adaderana.lk/news.php?nid=115801,"A total of 143.03 kilometers of Sri Lanka s coastline have been polluted due to heavy flooding caused by the impact of Cyclone Ditwah, according to the Marine Environment Protection Authority (MEPA). MORE..","Tue, 09 Dec 2025 18:11:45 +0530",5.17,cyclone ditwah causes extensive pollution along 143km stretch sri lanka coastline total 143 03 kilometers sri lanka coastline polluted due heavy flooding caused impact cyclone ditwah according marine environment protection authority mepa,0,0.3612,-10.0,-9.6388,High Risk,"weather, sentiment",Emerging Event,"Lanka, Sri, Farmers"
Ada Derana,"National Audit Office to conduct over 3,500 audits in 2026",http://www.adaderana.lk/news.php?nid=115800,"The National Audit Office is scheduled to conduct a total of 3,508 audits in 2026. MORE..","Tue, 09 Dec 2025 17:43:00 +0530",5.17,national audit office conduct 3 500 audits 2026 national audit office scheduled conduct total 3 508 audits 2026,5,0.0,0.0,0.0,Neutral,general,Normal,"Education, Ministry, 2026"
Ada Derana,"Fire breaks out at seven-storey building in Indonesia s Jakarta, 20 dead",http://www.adaderana.lk/news.php?nid=115799,"A fire broke out at a seven-storey building in Indonesia s capital Jakarta on Tuesday, an official said on Tuesday, with 20 people confirmed dead. MORE..","Tue, 09 Dec 2025 16:53:39 +0530",5.17,fire breaks seven storey building indonesia jakarta 20 dead fire broke seven storey building indonesia capital jakarta tuesday official said tuesday 20 people confirmed dead,3,-0.9451,-10.0,-10.0,High Risk,sentiment,Emerging Event,"Lanka, Sri, News"
Ada Derana,Union calls for debt relief for teachers and principals in disaster-affected areas,http://www.adaderana.lk/news.php?nid=115798,The Ceylon Teachers  Union (CTU) has urged the government to introduce an immediate concessional relief programme for teachers and principals affected by the recent disaster situation. MORE..,"Tue, 09 Dec 2025 16:48:11 +0530",5.17,union calls debt relief teachers principals disaster affected areas ceylon teachers union ctu urged government introduce immediate concessional relief programme teachers principals affected recent disaster situation,4,-0.7717,-5.0,-5.7717,High Risk,"weather, economic, sentiment",Normal,"Lanka, Sri, President"
Ada Derana,Fairly heavy showers above 75 mm predicted for Northern and North-Central provinces,http://www.adaderana.lk/news.php?nid=115797,"The Northeast monsoon conditions have established over the island, the Department of Meteorology said. MORE..","Tue, 09 Dec 2025 16:40:44 +0530",5.17,fairly heavy showers 75 mm predicted northern north central provinces northeast monsoon conditions established island department meteorology said,3,0.0,0.0,0.0,Neutral,weather,Emerging Event,"Lanka, Sri, News"
Ada Derana,A'L exam to resume on Jan. 12,http://www.adaderana.lk/news.php?nid=115796,"The Ministry of Education has announced that the 2025 GCE Advanced Level Examination will resume on January 12, 2026. MORE..","Tue, 09 Dec 2025 16:29:26 +0530",5.17,l exam resume jan 12 ministry education announced 2025 gce advanced level examination resume january 12 2026,5,0.25,0.0,0.25,Neutral,general,Normal,"Education, Ministry, 2026"
Ada Derana,Another Indian relief aircraft arrives with bailey bridge and medical supplies,http://www.adaderana.lk/news.php?nid=115795,Another aircraft carrying a consignment of disaster relief humanitarian aid from India arrived at the Bandaranaike International Airport (BIA) this afternoon (09). MORE..,"Tue, 09 Dec 2025 16:22:19 +0530",5.17,another indian relief aircraft arrives bailey bridge medical supplies another aircraft carrying consignment disaster relief humanitarian aid india arrived bandaranaike international airport bia afternoon 09,3,0.2732,10.0,10.0,High Opportunity,"weather, transport, health",Emerging Event,"Lanka, Sri, News"
Ada Derana,"9,926 schools to reopen on Tuesday, 147 to remain closed - Education Ministry",http://www.adaderana.lk/news.php?nid=115794,"All schools in the Western, Southern, Northern, Sabaragamuwa, Eastern and North-Central provinces will reopen for academic activities on Tuesday (16), the Secretary to the Ministry of Education, Nalaka Kaluwewe has announced. MORE..","Tue, 09 Dec 2025 16:21:33 +0530",5.17,9 926 schools reopen tuesday 147 remain closed education ministry schools western southern northern sabaragamuwa eastern north central provinces reopen academic activities tuesday 16 secretary ministry education nalaka kaluwewe announced,5,0.0,0.0,0.0,Neutral,general,Normal,"Education, Ministry, 2026"
Ada Derana,ASPI gains 439 points during today s trading,http://www.adaderana.lk/news.php?nid=115792,"The All Share Price Index (ASPI) of the Colombo Stock Exchange (CSE) closed above the 22,000-point mark after gaining more than 430 points during today s trading. MORE..","Tue, 09 Dec 2025 15:55:47 +0530",5.17,aspi gains 439 points today trading share price index aspi colombo stock exchange cse closed 22 000 point mark gaining 430 points today trading,0,0.7506,0.0,0.7506,Opportunity,economic,Emerging Event,"Lanka, Sri, Farmers"
Ada Derana,Sluice gate of Upper Kotmale Reservoir opened,http://www.adaderana.lk/news.php?nid=115791,"A sluice gate of the Upper Kotmale Reservoir has been opened due to rains in catchment areas, the Department of Irrigation has announced. MORE..","Tue, 09 Dec 2025 15:27:17 +0530",5.17,sluice gate upper kotmale reservoir opened sluice gate upper kotmale reservoir opened due rains catchment areas department irrigation announced,2,0.0,0.0,0.0,Neutral,weather,Normal,"Dehiwala, Missing, Film"
